iter	RMSE
168	0.4992094443
169	0.4989385863
170	0.4985266017
171	0.4980665678
172	0.4975933516
173	0.4973335526
174	0.4967164827
175	0.4960544878
176	0.4956193611
177	0.4954078196
178	0.4949628494
179	0.4946693243
180	0.4943055308
181	0.4939301285
182	0.4935863221
183	0.4930610252
184	0.4927252858
185	0.4924256502
186	0.4920602729
187	0.491825229
188	0.4914020933
189	0.4909157949
190	0.4905867224
191	0.4899508541
192	0.4895423165
193	0.489255087
194	0.4888821853
195	0.4884366425
196	0.4881121044
197	0.4878267404
198	0.4874364343
199	0.4868330607
200	0.4865030182
201	0.4861176771
202	0.4856978688
203	0.4854034815
204	0.4848744366
205	0.4845446829
206	0.4842947882
207	0.4839264446
208	0.4834911062
209	0.4831485384
210	0.4828065626
211	0.4824279914
212	0.482117668
213	0.4816116527
214	0.4809662881
215	0.4806428387
216	0.4802033472
217	0.4799529868
218	0.4794864282
219	0.4792250289
220	0.4788091352
221	0.4784822652
222	0.4782378625
223	0.4777722256
224	0.477215223
225	0.4768944633
226	0.4765688333
227	0.4762616649
228	0.4759521381
229	0.4756125057
230	0.4752651013
231	0.4748850566
232	0.4741870778
233	0.4737456536
234	0.473453527
235	0.4732563292
236	0.4730138278
237	0.4727066514
238	0.4724377019
239	0.472133433
240	0.471625634
241	0.4713168519
242	0.4711218363
243	0.4707400677
244	0.4701294739
245	0.4696874449
246	0.4695065328
247	0.4691540476
248	0.4690027179
249	0.4686738805
250	0.4683654168
251	0.4679552575
252	0.4676388008
253	0.46738032
254	0.4671417977
255	0.4667055698
256	0.4664257991
257	0.4662239227
258	0.4658883872
259	0.4655373592
260	0.465253886
261	0.4650042391
262	0.4647335644
263	0.4645203761
264	0.4642689599
265	0.4640465202
266	0.4638077829
267	0.4635625464
268	0.4633146026
269	0.4630026331
270	0.4626176737
271	0.4622957452
272	0.4621246724
273	0.4618178344
274	0.4615716713
275	0.4613543106
276	0.4610697892
277	0.4604511154
278	0.460266216
279	0.4599227819
280	0.4597446404
281	0.4594617555
282	0.4592156695
283	0.4588731191
284	0.4585747775
285	0.4583906564
286	0.4581965947
287	0.4579768032
288	0.4578316353
289	0.4576140702
290	0.4574042526
291	0.4570982298
292	0.4568057909
293	0.4565049519
294	0.4563266768
295	0.4559640105
296	0.4556293443
297	0.4551403278
298	0.4548885066
299	0.4546345016
300	0.4544173707
301	0.4540954811
302	0.4538015116
303	0.4532386896
304	0.4529661473
305	0.4527584985
306	0.452580616
307	0.452277089
308	0.4519995629
309	0.4517868883
310	0.4515624927
311	0.4513488719
312	0.4511024732
313	0.450860468
314	0.4506309142
315	0.450361577
316	0.4501934833
317	0.4499467916
318	0.4496872117
319	0.4495348957
320	0.4492417648
321	0.4488940945
322	0.4486672612
323	0.448536542
324	0.4484224805
325	0.4481558068
326	0.4478825427
327	0.4476632823
328	0.4474772446
329	0.4471245296
330	0.4469057128
331	0.4467833788
332	0.4465696001
333	0.4463608504
334	0.4459526293
335	0.4455717528
336	0.4450247114
337	0.4447687108
338	0.4445775589
339	0.4443744185
340	0.4442094422
341	0.4439951424
342	0.4438403986
343	0.4435470027
344	0.4433603619
345	0.4431756981
346	0.4426649197
347	0.442503772
348	0.4423174843
349	0.4420628558
350	0.4418636623
351	0.441647239
352	0.4414261044
353	0.4412304973
354	0.4410372466
355	0.4408412711
356	0.4405904679
357	0.440383103
358	0.4402171963
359	0.4399787578
360	0.4397591262
361	0.4394593329
362	0.4392533258
363	0.4391025097
364	0.4389222033
365	0.4386623922
366	0.4384004105
367	0.4380389222
368	0.4378650003
369	0.4377516676
370	0.437491612
371	0.4372583015
372	0.4370791436
373	0.4368562801
374	0.4365921565
375	0.4361445485
376	0.4359559563
377	0.4358129852
378	0.4355870586
379	0.4354002882
380	0.4352740557
381	0.4350782556
382	0.4346859198
383	0.4342786303
384	0.4341411982
385	0.4339424277
386	0.4337164005
387	0.4333886523
388	0.4331936219
389	0.4330051206
390	0.4327604092
391	0.4325905342
392	0.43243274
393	0.4322250402
394	0.4320236939
395	0.431880677
396	0.4317719041
397	0.4315998094
398	0.4314358256
399	0.4312181689
400	0.4309752247
401	0.4308124552
402	0.430627648
403	0.4305300956
404	0.4303931971
405	0.430221094
406	0.4299834742
407	0.4297403611
408	0.4295977365
409	0.4294322232
410	0.4289618335
411	0.4286098761
412	0.4283548852
413	0.4281772944
414	0.4280513372
415	0.427885114
416	0.4277944083
417	0.4276097261
418	0.4274914209
419	0.4273416925
420	0.4271226598
421	0.4269087664
422	0.4266991553
423	0.4264651373
424	0.4262928695
425	0.4260608462
426	0.4258758051
427	0.4257059154
428	0.4254999982
429	0.4252824624
430	0.4250628584
431	0.4248698915
432	0.4245339087
433	0.4242499375
434	0.4241536056
435	0.4239462566
436	0.4237909209
437	0.423587681
438	0.4233754795
439	0.4231952934
440	0.4230258812
441	0.4228371761
442	0.4226356893
443	0.4224586306
444	0.4223836809
445	0.4222221577
446	0.4220784927
447	0.4219305659
448	0.4217876147
449	0.4215558137
450	0.4213270145
451	0.4211260237
452	0.4209970581
453	0.4207807633
454	0.4206946376
455	0.420596902
456	0.4204361136
457	0.4202789072
458	0.4201435964
459	0.419922473
460	0.4197594597
461	0.4196645908
462	0.4194865322
463	0.4193574888
464	0.4190464697
465	0.4188186949
466	0.4186255809
467	0.418424814
468	0.4182759955
469	0.4181296405
470	0.4179974304
471	0.4178300556
472	0.4176234308
473	0.417498558
474	0.4173919002
475	0.4171736351
476	0.4170648975
477	0.4166751811
478	0.4164462988
479	0.4163206388
480	0.4161820487
481	0.4160784601
482	0.4160009493
483	0.4159194297
484	0.4157142845
485	0.4154723202
486	0.4153951014
487	0.4152292977
488	0.4151459112
489	0.414970444
490	0.4147869444
491	0.4146235097
492	0.4144852519
493	0.4143812703
494	0.4141995896
495	0.41402782
496	0.413805657
497	0.4136398412
498	0.4134678121
499	0.4133380796
500	0.4131484877
501	0.4130732921
502	0.4128358176
503	0.412687134
504	0.4125134521
505	0.4123296537
506	0.412203343
507	0.4120905458
508	0.4119414324
509	0.4117530589
510	0.4115968374
511	0.4114832247
512	0.4113003314
513	0.4111886781
514	0.4109931364
515	0.4108664653
516	0.4106804151
517	0.4104817189
518	0.4103484912
519	0.4102144267
520	0.4101061812
521	0.4099140686
522	0.4098041368
523	0.4096463555
524	0.4094723866
525	0.4093512304
526	0.4092117479
527	0.4090874708
528	0.4089390721
529	0.4088543318
530	0.4087284342
531	0.4085833266
532	0.4084290423
533	0.4082937949
534	0.4081689704
535	0.408017773
536	0.4078146326
537	0.4075850101
538	0.4074517869
539	0.4072945274
540	0.4072264913
541	0.4071511585
542	0.406986065
543	0.4068822929
544	0.4066950898
545	0.4065486069
546	0.406393616
547	0.4063090717
548	0.4060748965
549	0.4059378423
550	0.4057903138
551	0.4055760248
552	0.4054288977
553	0.4052820153
554	0.4051297531
555	0.4050715667
556	0.4046886028
557	0.4045736762
558	0.4044226436
559	0.4043501363
560	0.4042306873
561	0.4041455417
562	0.4040442889
563	0.4038920304
564	0.4037612036
565	0.403609717
566	0.403432422
567	0.4033174806
568	0.4030999591
569	0.4029768428
570	0.4028621068
571	0.4027430362
572	0.4026388624
573	0.4025019671
574	0.4023312632
575	0.4022007375
576	0.4020579081
577	0.401994328
578	0.4019221315
579	0.4017787555
580	0.4017144852
581	0.4015536669
582	0.4014500887
583	0.4013027669
584	0.4011564787
585	0.4010480998
586	0.4009396524
587	0.4007801493
588	0.4006394128
589	0.4004887381
590	0.400365377
591	0.4002207999
592	0.4000919194
593	0.3999935533
594	0.3997704673
595	0.3996962207
596	0.3995784363
597	0.3994738528
598	0.3993261364
599	0.3991967325
600	0.3990388399
601	0.3989376305
602	0.3988562691
603	0.3986657586
604	0.3985441538
605	0.3984416369
606	0.3982481373
607	0.3981797988
608	0.3978645161
609	0.3977261322
610	0.397605389
611	0.3974291059
612	0.3972921379
613	0.3971493172
614	0.3970389416
615	0.3968424016
616	0.396727037
617	0.3965930144
618	0.3964725566
619	0.3963679986
620	0.3962370961
621	0.3961790067
622	0.3961082848
623	0.3959356927
624	0.3957963669
625	0.3957195164
626	0.3956330087
627	0.3955152608
628	0.3954101469
629	0.3952420013
630	0.3951429938
631	0.3949810593
632	0.3947799462
633	0.394651413
634	0.3945054333
635	0.3944197214
636	0.3942977732
637	0.3941817255
638	0.3940434492
639	0.3939538635
640	0.3938700909
641	0.3937349413
642	0.3936037588
643	0.3934550149
644	0.3932956418
645	0.3931705715
646	0.3931087015
647	0.3930464659
648	0.3928007793
649	0.3926416247
650	0.3925613613
651	0.3924019387
652	0.3922377015
653	0.392123899
654	0.3920397991
655	0.3919369316
656	0.3918108605
657	0.3916852032
658	0.3915478756
659	0.3914162552
660	0.3913370291
661	0.3912143185
662	0.3910367916
663	0.3909699204
664	0.3908072464
665	0.3906665517
666	0.3905991402
667	0.390482906
668	0.3902616746
669	0.3900883992
670	0.389965723
671	0.3898934165
672	0.3897198111
673	0.3896455273
674	0.3894763283
675	0.3893674166
676	0.3892215545
677	0.3891328624
678	0.3890336772
679	0.3889291571
680	0.3887208869
681	0.3886124642
682	0.3885055396
683	0.3883513684
684	0.3882059903
685	0.3881553121
686	0.3880208373
687	0.3879318841
688	0.3878446397
689	0.3877410721
690	0.3876192298
691	0.3875106971
692	0.3873779053
693	0.3871949736
694	0.3870538711
695	0.3869043735
696	0.3867180024
697	0.3866261652
698	0.3864763009
699	0.386382221
700	0.386277614
701	0.3861662973
702	0.3859862538
703	0.3858942744
704	0.3858018319
705	0.3857417348
706	0.3856031014
707	0.3854689457
708	0.3853563079
709	0.3852424813
710	0.3851281145
711	0.3850155859
712	0.384969987
713	0.3848254739
714	0.3847239321
715	0.3846250528
716	0.3845337215
717	0.3844238168
718	0.3843064578
719	0.3841902413
720	0.3840599813
721	0.3839315385
722	0.3838187233
723	0.383730833
724	0.3836568193
725	0.3835662507
726	0.3834506266
727	0.383340187
728	0.3832634838
729	0.3831155316
730	0.3830552079
731	0.3829452243
732	0.3828093987
733	0.382710476
734	0.3826012638
735	0.3825357318
736	0.3824274224
737	0.3823632219
738	0.3822473152
739	0.3821488189
740	0.3820364189
741	0.3819156587
742	0.3818300449
743	0.3816376183
744	0.3815152512
745	0.3814417838
746	0.3812522852
747	0.3811038599
748	0.381033396
749	0.3809409329
750	0.3808492257
751	0.3807867422
752	0.38066366
753	0.3805391306
754	0.3804716667
755	0.3803326946
756	0.3802378178
757	0.3801801082
758	0.3800237872
759	0.3799603559
760	0.3798808023
761	0.3797969304
762	0.3796629986
763	0.3796181473
764	0.3795294706
765	0.3794124523
766	0.3793286748
767	0.3792502447
768	0.3791340498
769	0.3789893332
770	0.3788724999
771	0.378620874
772	0.3785475787
773	0.3784342816
774	0.3783366691
775	0.3782618884
776	0.3781759772
777	0.3780707881
778	0.377997035
779	0.3779564502
780	0.3778598224
781	0.3776278286
782	0.3774745522
783	0.3773601905
784	0.3771987663
785	0.3771309868
786	0.3769320111
787	0.3768530344
788	0.3768162901
789	0.3766527453
790	0.376499846
791	0.3763848478
792	0.3762722251
793	0.3762130937
794	0.3760887652
795	0.3759647426
796	0.3758763921
797	0.3757999163
798	0.3756544038
799	0.3755715001
800	0.3754729229
801	0.3754054363
802	0.3752678458
803	0.3751465471
804	0.3750571084
805	0.3749989188
806	0.3748980482
807	0.3748111888
808	0.3747566769
809	0.3746298216
810	0.3745644814
811	0.3744566169
812	0.3743418485
813	0.3742131729
814	0.374060159
815	0.3740075726
816	0.3739539254
817	0.3738657524
818	0.373796754
819	0.3735876011
820	0.3735124696
821	0.3734508047
822	0.3733830577
823	0.3733318903
824	0.3732520421
825	0.3731345081
826	0.3730421561
827	0.3729961549
828	0.3728441966
829	0.3727761388
830	0.3726473682
831	0.3725113388
832	0.3723878793
833	0.3723271746
834	0.372236655
835	0.3721517529
836	0.3720750225
837	0.3718642829
838	0.3717571218
839	0.3716777718
840	0.3715967822
841	0.371524103
842	0.3714477476
843	0.3713250907
844	0.3712280698
845	0.3710666014
846	0.3709670979
847	0.370896522
848	0.3708070414
849	0.370711027
850	0.3705899562
851	0.3704991784
852	0.3704263891
853	0.3703187438
854	0.3702419338
855	0.3700906384
856	0.3700248726
857	0.3699095027
858	0.369794713
859	0.3696795487
860	0.3695908079
861	0.3695260941
862	0.3694521979
863	0.3693560328
864	0.3692378404
865	0.369160892
866	0.3690982645
867	0.369032384
868	0.3689717111
869	0.3688286373
870	0.368721189
871	0.3686124209
872	0.3685012168
873	0.3684485658
874	0.3683387473
875	0.3682897798
876	0.3681732937
877	0.3680838727
878	0.3680024311
879	0.3679123558
880	0.3678784518
881	0.3677625211
882	0.3676874531
883	0.367609583
884	0.3675581914
885	0.3674203211
886	0.3672898726
887	0.3671826629
888	0.3670838026
889	0.3669503042
890	0.3668494459
891	0.3668116843
892	0.3667427249
893	0.3666704109
894	0.3665987422
895	0.3665260302
896	0.3664805068
897	0.3663672476
898	0.366258549
899	0.3661635757
900	0.3660993962
901	0.3660159273
902	0.3658725977
903	0.3658139866
904	0.3657127439
905	0.3656220666
906	0.3655589138
907	0.3654615791
908	0.3654082577
909	0.3653381814
910	0.3652514705
911	0.3651959242
912	0.3650789126
913	0.3650173569
914	0.3649602271
915	0.3648477918
916	0.3647004463
917	0.3646008065
918	0.3644727132
919	0.3643724249
920	0.3642745604
921	0.3641568437
922	0.3640476821
923	0.3639553464
924	0.3638574067
925	0.3637924953
926	0.3636791043
927	0.3635873242
928	0.3635504386
929	0.3634818101
930	0.3633698657
931	0.3632533974
932	0.3631332098
933	0.3630279579
934	0.36295032
935	0.362868445
936	0.3627537855
937	0.3625523965
938	0.3624664377
939	0.3623201219
940	0.3622381225
941	0.3621822452
942	0.362085615
943	0.3619340137
944	0.3618317614
945	0.3617214279
946	0.3615840256
947	0.3614262846
948	0.3613684343
949	0.3612500976
950	0.3611404144
951	0.3609870487
952	0.3608791855
953	0.3607933582
954	0.3606911787
955	0.3605679344
956	0.3604679935
957	0.3604013017
958	0.3603208552
959	0.3602872833
960	0.3601919776
961	0.360102958
962	0.3600168848
963	0.3599307813
964	0.3598284658
965	0.3597540398
966	0.359711034
967	0.3596143923
968	0.359532463
969	0.3594665953
970	0.3594014442
971	0.3593151374
972	0.3592395632
973	0.3591148737
974	0.3590701398
975	0.358993512
976	0.3589383152
977	0.3588696238
978	0.3587789057
979	0.3586883947
980	0.3586032728
981	0.3585257209
982	0.358397332
983	0.3583038042
984	0.3582229001
985	0.3581484428
986	0.3580519651
987	0.3579387969
988	0.3579043096
989	0.3578082438
990	0.3577633351
991	0.3576891499
992	0.3576118764
993	0.357528459
994	0.3574260201
995	0.3573062855
996	0.3571937053
997	0.3570739974
998	0.3570466679
999	0.356994587
